k1,km1,k2,km2,kcat,dGo,alpha,kobs,RSS
2.168373880711738,1.9790040782401777,11703597.470967436,3768.2759556017177,1.0590983231511846,-3.2498,-4.0684,1719.2992175030777,0.5954376524052892
2.174798657854411,1.867049479732437,12400707.742585264,3919.03744869371,0.9987117928895246,-3.2498,-4.0684,1699.9480181675813,0.6720509164325966
2.1759273326695694,1.9803073005086818,11613846.921108818,3776.231087696524,1.0605486673154805,-3.2498,-4.0684,1707.145405495802,0.5741700995245984
2.176686486092257,1.9807843597668473,11644001.612916546,3771.6318789945385,1.0588876846161166,-3.2498,-4.0684,1711.0693564063863,0.7111777743839961
2.1737769093370045,1.9373707065595847,11664440.745263468,3805.2395283885066,1.0603821049649391,-3.2498,-4.0684,1718.2059029580153,0.7296596629854892
2.1901055566229406,1.9817629805730603,11638712.594750768,3767.740187975955,1.0574367021712527,-3.2498,-4.0684,1714.3162385519415,0.7314383171792378
2.1806196339289987,1.9805623397641123,11642608.464025099,3769.7283240467086,1.0585733484115387,-3.2498,-4.0684,1712.7834917550463,0.5135257893429921
2.1901055566229406,1.9817629805730603,11638712.594750768,3767.740187975955,1.0574367021712527,-3.2498,-4.0684,1714.3162385519415,0.5744177954847887
2.178790996229289,1.9783748634414846,11629583.263649594,3769.958622740708,1.0573140848952156,-3.2498,-4.0684,1708.9447496202104,0.5902279408815149
2.1872277570722027,1.9376499086259429,11736870.084690277,3825.3652441408267,1.0444601800841822,-3.2498,-4.0684,1698.7741786299482,0.5270678463750413
2.1877582970810603,1.7807164590718068,12837961.823832182,3986.439369523895,0.9751052947060994,-3.2498,-4.0684,1730.7403983288,0.5427510000937872
2.1693817661871595,1.9859823759961448,11655419.145592995,3767.698508793609,1.0555779954083495,-3.2498,-4.0684,1704.3050138788374,0.772470621376453
2.188692992027326,1.9811621853393606,11634872.717100535,3767.653976553905,1.05739899678046,-3.2498,-4.0684,1713.450361906231,0.6624866109233162
2.1901055566229406,1.9817629805730603,11638712.594750768,3767.740187975955,1.0574367021712527,-3.2498,-4.0684,1714.3162385519415,0.661849004115789
2.1901055566229406,1.9817629805730603,11638712.594750768,3767.740187975955,1.0574367021712527,-3.2498,-4.0684,1714.3162385519415,0.7051585097386015
2.1901055566229406,1.9817629805730603,11638712.594750768,3767.740187975955,1.0574367021712527,-3.2498,-4.0684,1714.3162385519415,0.5675654182397705
2.16488934309794,1.9881426897199121,11647335.506066771,3782.632112418593,1.0529861652760801,-3.2498,-4.0684,1689.6808732174018,0.6418345348247043
2.1788599801409,1.902449796304356,11858948.12712427,3844.8620242262614,1.0447605579578711,-3.2498,-4.0684,1719.8633697909306,0.6468562821336705
2.1691823716645997,1.9913127389981904,11706501.590725088,3769.1064748088756,1.0525826256683315,-3.2498,-4.0684,1704.020060481574,0.7813512960465067
2.1779243013764993,1.9264716270111668,11852548.506792532,3824.4278763546986,1.043572126992511,-3.2498,-4.0684,1715.7056443569516,0.47373991847824715
