kcat,KM,dGo,alpha,kobs,RSS
0.06805432970096126,3.735883777478133e-05,-3.2498,-4.0684,1821.6393698119962,0.549293664055573
0.058810866500047965,3.131146674106855e-05,-3.2498,-4.0684,1878.253324457357,0.5195977704699525
0.05971496863274117,3.18742841612929e-05,-3.2498,-4.0684,1873.452854048942,0.5962279513596269
0.06618351133300382,3.644784440959281e-05,-3.2498,-4.0684,1815.841578702108,0.7703310004479765
0.05154082217138334,2.714460246944217e-05,-3.2498,-4.0684,1898.750303284236,0.49927601399219423
0.06581686442030277,3.56157423712089e-05,-3.2498,-4.0684,1847.9711509118474,0.6144031849539363
0.0844521573353556,4.644450927415722e-05,-3.2498,-4.0684,1818.3453470644527,0.43701962922224336
0.06033618318271827,3.23358270758467e-05,-3.2498,-4.0684,1865.9236097840987,0.5452422397387563
0.06614964572224236,3.609606657917208e-05,-3.2498,-4.0684,1832.5998368035923,0.7005766244717674
0.048890135084979525,2.5687701906806915e-05,-3.2498,-4.0684,1903.2506396387394,0.527732125584736
0.03925421044189026,2.014727886978651e-05,-3.2498,-4.0684,1948.3628878913817,0.5748728522775739
0.031370751393585916,1.5444179700563332e-05,-3.2498,-4.0684,2031.2345493132054,0.6391074760354665
0.08063288404480962,4.353837872328459e-05,-3.2498,-4.0684,1851.9955590741063,0.5060620408143943
0.05285447329799986,2.791065216289912e-05,-3.2498,-4.0684,1893.7025544769567,0.7473673915987838
0.06412838947383492,3.4000331605610334e-05,-3.2498,-4.0684,1886.1107067336136,0.5987894673280616
0.047950909191180946,2.5019771952128345e-05,-3.2498,-4.0684,1916.520633478513,0.6672162955568219
0.032959232996385035,1.6700732422214593e-05,-3.2498,-4.0684,1973.5202123557222,0.569440293410836
0.06550833702190895,3.489077963536591e-05,-3.2498,-4.0684,1877.525744810487,0.4775662668588331
0.1071841131075415,6.006627904853179e-05,-3.2498,-4.0684,1784.4307122959935,0.6743269569853793
0.06332183517467094,3.430244818447559e-05,-3.2498,-4.0684,1845.9858851511592,0.5179900100061405
0.0426684006771465,2.2011795293264136e-05,-3.2498,-4.0684,1938.433467541992,0.6350669265973269
0.05243540571340177,2.8052282360468972e-05,-3.2498,-4.0684,1869.2028348927959,0.6323384762541495
0.054800609639953146,2.9558854386046995e-05,-3.2498,-4.0684,1853.949037545288,0.5909617356923574
0.057967351967598724,3.090186864651567e-05,-3.2498,-4.0684,1875.8526427862091,0.5671111465352445
0.04581086345440388,2.3757295370185894e-05,-3.2498,-4.0684,1928.2861428702029,0.5709973291628037
0.09085045238134781,4.980654453323741e-05,-3.2498,-4.0684,1824.066560584635,0.6109546322187247
