,kcat,KM,dGo,alpha,RSS,Result order,Parameter pair
48,0.3638367694494298,0.0016511044732865686,-3.2498,-4.0684,46.99773498731531,48,"kcat,KM"
49,0.3638367694494298,0.0027542082588627457,-3.2498,-4.0684,47.53588973225969,49,"kcat,KM"
50,0.6069163105717279,2.7542082588627457e-05,-3.2498,-4.0684,29.75634842315681,50,"kcat,KM"
51,0.6069163105717279,4.5942962761697854e-05,-3.2498,-4.0684,27.93516660973502,51,"kcat,KM"
52,0.6069163105717279,7.663748086335051e-05,-3.2498,-4.0684,23.869611189028006,52,"kcat,KM"
53,0.6069163105717279,0.0001278390229978141,-3.2498,-4.0684,16.737812081261982,53,"kcat,KM"
54,0.6069163105717279,0.00021324834293778443,-3.2498,-4.0684,6.905122659895568,54,"kcat,KM"
55,0.6069163105717279,0.0003557196754115406,-3.2498,-4.0684,0.3225368952398625,55,"kcat,KM"
56,0.6069163105717279,0.000593376181646621,-3.2498,-4.0684,9.680124202094504,56,"kcat,KM"
57,0.6069163105717279,0.0009898111273664483,-3.2498,-4.0684,28.533309429468332,57,"kcat,KM"
58,0.6069163105717279,0.0016511044732865686,-3.2498,-4.0684,42.3180498671495,58,"kcat,KM"
59,0.6069163105717279,0.0027542082588627457,-3.2498,-4.0684,46.99773498832842,59,"kcat,KM"
60,1.0123974237001767,2.7542082588627457e-05,-3.2498,-4.0684,29.927864811056764,60,"kcat,KM"
61,1.0123974237001767,4.5942962761697854e-05,-3.2498,-4.0684,29.756348423155767,61,"kcat,KM"
62,1.0123974237001767,7.663748086335051e-05,-3.2498,-4.0684,27.935166609735056,62,"kcat,KM"
63,1.0123974237001767,0.0001278390229978141,-3.2498,-4.0684,23.86961118920472,63,"kcat,KM"
64,1.0123974237001767,0.00021324834293778443,-3.2498,-4.0684,16.737812080726208,64,"kcat,KM"
65,1.0123974237001767,0.0003557196754115406,-3.2498,-4.0684,6.905122660052664,65,"kcat,KM"
66,1.0123974237001767,0.000593376181646621,-3.2498,-4.0684,0.3225368952574153,66,"kcat,KM"
67,1.0123974237001767,0.0009898111273664483,-3.2498,-4.0684,9.680124200687798,67,"kcat,KM"
68,1.0123974237001767,0.0016511044732865686,-3.2498,-4.0684,28.53330942943102,68,"kcat,KM"
69,1.0123974237001767,0.0027542082588627457,-3.2498,-4.0684,42.31804986632672,69,"kcat,KM"
70,1.6887806863342196,2.7542082588627457e-05,-3.2498,-4.0684,29.928115235024478,70,"kcat,KM"
71,1.6887806863342196,4.5942962761697854e-05,-3.2498,-4.0684,29.92786481105789,71,"kcat,KM"
72,1.6887806863342196,7.663748086335051e-05,-3.2498,-4.0684,29.756348423155757,72,"kcat,KM"
