Time,FRET,Enzyme,RNA,DNA
3235.1560000000004,0.03334100265101399,3e-06,1.0000000000000001e-07,5.000000000000001e-07
3551.63,0.048177567461735814,3e-06,1.0000000000000001e-07,5.000000000000001e-07
3551.63,0.05328336949933393,3e-06,1.0000000000000001e-07,5.000000000000001e-07
3868.104000000001,0.02580818965792725,3e-06,1.0000000000000001e-07,5.000000000000001e-07
3868.104000000001,0.00020131417511457916,3e-06,1.0000000000000001e-07,5.000000000000001e-07
4184.578,0.0,3e-06,1.0000000000000001e-07,5.000000000000001e-07
4184.578,0.01190501078919423,3e-06,1.0000000000000001e-07,5.000000000000001e-07
4501.052,0.0021062062453775926,3e-06,1.0000000000000001e-07,5.000000000000001e-07
4501.052,0.019575674619737773,3e-06,1.0000000000000001e-07,5.000000000000001e-07
4817.525999999999,0.008717913635942322,3e-06,1.0000000000000001e-07,5.000000000000001e-07
4817.525999999999,0.0,3e-06,1.0000000000000001e-07,5.000000000000001e-07
0.0,1.0,5e-06,1.0000000000000001e-07,5.000000000000001e-07
0.0,1.0,5e-06,1.0000000000000001e-07,5.000000000000001e-07
386.89,1.0252958272422554,5e-06,1.0000000000000001e-07,5.000000000000001e-07
386.89,0.9599266698043079,5e-06,1.0000000000000001e-07,5.000000000000001e-07
703.364,0.9604556814856403,5e-06,1.0000000000000001e-07,5.000000000000001e-07
703.364,0.9212108347254652,5e-06,1.0000000000000001e-07,5.000000000000001e-07
1019.8380000000002,0.7910508938953706,5e-06,1.0000000000000001e-07,5.000000000000001e-07
1019.8380000000002,0.7842566428698743,5e-06,1.0000000000000001e-07,5.000000000000001e-07
1336.3119999999997,0.43253537460952185,5e-06,1.0000000000000001e-07,5.000000000000001e-07
1336.3119999999997,0.3767647560338829,5e-06,1.0000000000000001e-07,5.000000000000001e-07
1652.786,0.14652251619186446,5e-06,1.0000000000000001e-07,5.000000000000001e-07
1652.786,0.19665550743346474,5e-06,1.0000000000000001e-07,5.000000000000001e-07
1969.26,0.06874423979644842,5e-06,1.0000000000000001e-07,5.000000000000001e-07
1969.26,0.09625361691681239,5e-06,1.0000000000000001e-07,5.000000000000001e-07
2285.734,0.03719265479957189,5e-06,1.0000000000000001e-07,5.000000000000001e-07
2285.734,0.0639639863189648,5e-06,1.0000000000000001e-07,5.000000000000001e-07
2602.2079999999996,0.021076374000123337,5e-06,1.0000000000000001e-07,5.000000000000001e-07
2602.2079999999996,0.047641529977771664,5e-06,1.0000000000000001e-07,5.000000000000001e-07
2918.682,0.009627208108992896,5e-06,1.0000000000000001e-07,5.000000000000001e-07
2918.682,-7.244285849255464e-17,5e-06,1.0000000000000001e-07,5.000000000000001e-07
3235.1560000000004,0.007375773890457454,5e-06,1.0000000000000001e-07,5.000000000000001e-07
3235.1560000000004,0.0027912937557551176,5e-06,1.0000000000000001e-07,5.000000000000001e-07
3551.63,0.028326676331593834,5e-06,1.0000000000000001e-07,5.000000000000001e-07
3551.63,0.008292229777971272,5e-06,1.0000000000000001e-07,5.000000000000001e-07
3868.104000000001,0.02608023778913171,5e-06,1.0000000000000001e-07,5.000000000000001e-07
3868.104000000001,0.013312258395973612,5e-06,1.0000000000000001e-07,5.000000000000001e-07
4184.578,0.02551570487362934,5e-06,1.0000000000000001e-07,5.000000000000001e-07
4184.578,0.012406960115710361,5e-06,1.0000000000000001e-07,5.000000000000001e-07
4501.052,0.0062991378570324405,5e-06,1.0000000000000001e-07,5.000000000000001e-07
4501.052,0.029323310062275877,5e-06,1.0000000000000001e-07,5.000000000000001e-07
4817.525999999999,0.0,5e-06,1.0000000000000001e-07,5.000000000000001e-07
4817.525999999999,0.01938395694097781,5e-06,1.0000000000000001e-07,5.000000000000001e-07
